siret,activitePrincipaleEtablissement,etatAdministratifEtablissement,adresse
03902792500013,81.10Z,A,17 BOULEVARD MALESHERBES PARIS 75008 75005 PARIS REP PAR
26230080900080,86.10Z,A,3 LA COTE RIBIERE MOUTIER-ROZEILLE 23200
26190280300038,87.10A,A,190 RUE GUSTAVE PARRE BORT-LES-ORGUES 19110 HOPITAL LOCAL
09412263700013,47.11B,A,QUA SIM BANDRABOUA 97650
13000609100057,84.13Z,A,4 AVENUE DIDIER DAURAT COLOMIERS 31770
03887806200017,81.10Z,A,31 RUE DE L'UNION SAINT-CYR-L'ECOLE 78210 CYR L'ECOLE REP PAR
21420238400050,36.00Z,A,LE BOURG SAINT-JEAN-LA-VETRE 42440 MAIRIE
22840001600439,84.11Z,A,160 BOULEVARD JEAN LOUIS PASSET CARPENTRAS 84200
20005971500017,42.99Z,A,1 PL HENRI MARTIN AY-CHAMPAGNE 51150 MAIRIE
24530017300037,96.03Z,A,18 PL 8 MAI 1945 LASSAY-LES-CHATEAUX 53110 MAIRIE
21030220400040,96.03Z,A,HOTEL DE VILLE SAINT-BONNET-DE-ROCHEFORT 03800 MAIRIE
19081009300012,85.31Z,A,RUE DE L'ESCAILLERE SIGNY-LE-PETIT 08380
21370169100015,84.11Z,A,8 RUE DU 8 MAI 1945 NEUVILLE-SUR-BRENNE 37110
03937149700015,81.10Z,A,14 RUE VIGNON PARIS 75009 REP PAR SA ROGER DELIOUX
20004168900262,68.20B,A,55 RUE MICHEL TEXIER SAINT-JEAN-D'ANGELY 17400
21630605000016,84.11Z,A,SAINT-JUST 63600 MAIRIE
21800776300012,84.11Z,A,WOIREL 80140
20005941800067,85.10Z,A,AV DE LATTRE DE TASSIGNY QUILLAN 11500
30360096900057,46.75Z,A,10 RUE DU PARC OBERHAUSBERGEN 67205
26620932900165,86.10Z,A,AV EMILE ROUX LIEVIN 62800 CTRE DE LA PETITE ENFANCE
30039730400035,85.20Z,A,1 RUE DU MOULIN DOMPIERRE-SUR-YON 85170 ECOLE PRIVEE DE FILLES
03922754100016,81.10Z,A,72 BD DES CHAMPS ELYSEES EVRY-COURCOURONNES 91000 REP PAR
30237459000032,68.20B,A,2 RUE DE LA GLOYETTE ROMIGNY 51170
24820009900096,36.00Z,A,9 RUE DE L'HOTEL DE VILLE MONTAUBAN 82000 MAIRIE
26490378200011,88.99B,A,2 PLACE DE L'EGLISE SAINT-AUGUSTIN-DES-BOIS 49170 MAIRIE
03873957900019,81.10Z,A,41 RUE CORTAMBERT PARIS 75016
21580222400059,36.00Z,A,PLACE DE LA MAIRIE RIX 58500 MAIRIE
21280182300015,84.11Z,A,14 RUE DE LA MAIRIE GOHORY 28160
03902490600016,81.10Z,A,80 BOULEVARD BEAUMARCHAIS PARIS 75011
01316634300015,81.10Z,A,1 RUE DES IFS LE MANS 72000 RES DES IFS
02404776300016,43.21A,A,4 RUE DE LA MAIRIE PAMANDZI 97615
29680211900010,42.99Z,A,27 RUE PRINCIPALE OBERENTZEN 68127 MAIRIE
26840004100045,88.99B,A,165 CHEMIN DE LA PLANQUE CAVAILLON 84300
30214909100027,26.51B,A,2 RUE DU FORBETH JURANCON 64110
20006792400023,42.99Z,A,1 RUE DES 11 COMMUNES BENFELD 67230
06580437900041,60.2L,A,38 BOULEVARD GAY LUSSAC MARSEILLE 13014
21290042700155,42.99Z,A,PL LEON BLUM CROZON 29160 MAIRIE
21020056400099,36.00Z,A,PLACE CHARLES DE GAULLE BEAUREVOIR 02110 MAIRIE
29670054500019,42.99Z,A,21 RUE DE L’EGLISE ESCHWILLER 67320 MAIRIE
20008100800019,84.11Z,A,250 CHEMIN DES ECOLES ARTIGUELOUVE 64230
20009331800018,36.00Z,A,SAINT-DENIS-CATUS 46150
26590389800020,88.10A,A,PLACE JACQUES DUCLOS MASNIERES 59241 MAIRIE
22690001700980,88.99B,A,4 RUE MOUILLARD LYON 69009
21750001613376,84.11Z,A,18 AVENUE PIERRE GOMAND LUSIGNY-SUR-BARSE 10270
03896212200016,81.10Z,A,3 RUE THEODULE RIBOT PARIS 75017
30365684704472,77.11A,A,14 ROUTE DE SAINT PAUL PIERRELATTE 26700
03893747000011,81.10Z,A,14 RUE DES PINSONS ERAGNY 95610
30153389900011,68.20B,A,123 RUE DE DOLE BESANCON 25000
03969335300011,81.10Z,A,8 ROUTE DE BONSON SAINT-MARCELLIN-EN-FOREZ 42680
04228408300013,81.10Z,A,2 RUE AIME LEVET ANNECY 74000
01976940500010,81.10Z,A,AVENUE DE PROVENCE GRASSE 06130
21510034800022,36.00Z,A,GRANDE RUE BASSU 51300 MAIRIE
01487535500019,81.10Z,A,74 AVENUE DE LA REPUBLIQUE RIOM-ES-MONTAGNES 15400
21640324600046,55.30Z,A,LASSEUBE 64290
03921190900013,81.10Z,A,13 RUE CHALIGNY PARIS 75012 REP PAR SARL GSMGI
21570463601663,88.91A,A,31 RUE DE VERDUN METZ 57000
30255783000031,49.41A,A,8 AVENUE MARCEL LE MIGNOT GONFREVILLE-L'ORCHER 76700
21770223200059,37.00Z,A,PLACE RAYMOND LAMBERT GURCY-LE-CHATEL 77520
21440109301104,85.20Z,A,24 BOULEVARD GUSTAVE ROCH NANTES 44200
04390698100014,81.10Z,A,182 RUE DE RIVOLI PARIS 75001 PARIS REP PAR
20000875300093,85.10Z,A,SOHOA CHICONI 97670
26560291200015,88.99B,A,3 RUE SAINT HERNIN PLUHERLIN 56220 MAIRIE
03870770900010,81.10Z,A,16 BOULEVARD DE STRASBOURG PARIS 75010
30116075000362,86.10Z,A,24 GRAND RUE CHATEAULIN 29150
21780242000083,85.10Z,A,RUE LAENNEC FONTENAY-LE-FLEURY 78330
30134058406761,43.22B,A,1 PLACE SAMUEL DE CHAMPLAIN COURBEVOIE 92400
20008465500170,42.99Z,A,23 PL DE LA REPUBLIQUE CHATEAU-GONTIER-SUR-MAYENNE 53200 MAIRIE
26760125000017,88.99B,A,AVENUE JEAN JAURES FONTAINE-LA-MALLET 76290 MAIRIE
21270476100023,85.10Z,A,ROUTE DE LISIEUX LES PREAUX 27500
30414260700015,56.29B,A,MAIRIE DE SEBAZAC SEBAZAC-CONCOURES 12740
01734165200158,68.20B,A,30 RUE DU MOULIN FLEUREY-SUR-OUCHE 21410
18008901308125,72.19Z,A,1 ALLEE DES GRANGES FORESTIER CHALON-SUR-SAONE 71100
04381805300019,81.10Z,A,11 RUE CLAUZEL PARIS 75009
03912238700010,81.10Z,A,12 RUE DE LA CHINE PARIS 75020
21430165700117,35.11Z,A,LE BOURG ROSIERES 43800 MAIRIE
26360006600181,87.10A,A,5 AVENUE MAURICE ROLLINAT AIGURANDE 36140
26270282200038,87.10A,A,64 RTE DE LISIEUX PONT-AUDEMER 27500
21590599300709,85.20Z,A,207 CHAUSSEE WATT TOURCOING 59200
21250321300036,85.20Z,A,2 RUE DE LA CHAPELLE VILLERS-LE-LAC 25130
21100299300015,84.11Z,A,8 RUE DE LA CRAISE PRUNAY-BELLEVILLE 10350
30299790300059,93.12Z,A,131 AVENUE DE LA CELLE SAINT CLOUD VAUCRESSON 92420
03888267600018,81.10Z,A,103 AV MARECHAL FOCH SAINT-GERMAIN-EN-LAYE 78100 RES VAUBAN
21380323200031,88.91A,A,1 LA GARE PRESSINS 38480
21920024300331,86.21Z,A,3 RUE SIMONNEAU CLICHY 92110
21310353400011,84.11Z,A,MONES 31370
30171874800025,68.20A,A,28 ROUTE D'ESPAGNE SAVIGNAC-LES-ORMEAUX 09110
26140127700940,86.10Z,A,6 SQUARE JEAN MOULIN LISIEUX 14100
26890005700061,85.42Z,A,2 BOULEVARD DE VERDUN AUXERRE 89000
26760164900077,86.90D,A,2 RUE DE CLEVES EU 76260
21720252200017,84.11Z,A,PLACE DU 8 MAI 1945 REQUEIL 72510
26600157700029,87.30A,A,36 RUE DE FAY CLERMONT 60600
26150347800016,88.99B,A,VITRAC 15220
26130007300184,86.21Z,A,12 BOULEVARD D'ATHENES MARSEILLE 13001
20005513500020,84.11Z,A,40 PL DE LA MAIRIE ARLAY 39140
21060142300028,85.20Z,A,TOUET DE L'ESCARENE 06440
03937603300013,81.10Z,A,4 RUE DU COMMANDANT RIVIERE PARIS 75008 L GROUPEMENT R L
25510242800018,84.11Z,A,PLACE EUGENE ROUYER LA NEUVILLE-AU-PONT 51800 MAIRIE
21750001604482,85.20Z,A,38 RUE DE TOURTILLE PARIS 75020
03969537400015,81.10Z,A,15 RUE RICHELANDIERE SAINT-ETIENNE 42000
21590274300024,85.20Z,A,RUE DE GUISE LA GROISE 59360
21570630000021,36.00Z,A,11 PLACE PIERRE MESSMER SARREBOURG 57400
21810014700030,55.10Z,A,ANGLES 81260 MAIRIE
21770431100059,85.10Z,A,54 AVENUE LEOPOLD PELLETIER SAINT-PIERRE-LES-NEMOURS 77140
20005908700011,88.99B,A,4 RUE DE LA ROCHEJAQUELEIN SEVREMONT 85700 MAIRIE
21760045100033,90.04Z,A,LE BOURG AUZOUVILLE L'ESNEVAL 76760 MAIRIE
21350190100010,84.11Z,A,6 RUE DES ECOLES MONTHAULT 35420
03870635400016,81.10Z,A,8 RUE BLANCHE PARIS 75009 TRICK
18140001100076,85.42Z,A,9 RUE CLAUDE BLOCH CAEN 14000
21910345400159,85.10Z,A,2 RUE DES TEMPLIERS LONGJUMEAU 91160
30165293900010,94.20Z,A,251 RUE DE VAUGIRARD PARIS 75015
03885863500014,81.10Z,A,24 RUE DAUPHINE PARIS 75006
21770358600024,85.20Z,A,RUE DE L'ARPENT NOIR PENCHARD 77124
01428594400014,81.10Z,A,26 RUE FRUCTIDOR CHALON-SUR-SAONE 71100
19550008700034,85.59A,A,RUE ANDRE MALRAUX COMMERCY 55200
22410001600183,55.20Z,A,ALL JEAN NAVARRE VARS 05560 LES CLAUX
19622434900015,85.31Z,A,13 RUE ROGER SALENGRO SAINT-MARTIN-BOULOGNE 62280
18570431900010,94.91Z,A,VAUX 57130
21670421300067,36.00Z,A,GRAND RUE SAALES 67420 MAIRIE
21670226600059,84.11Z,A,PL DU LAVOIR ITTENHEIM 67117
20007355900011,84.12Z,A,23 RUE DE L'HOTEL DE VILLE JUSSEY 70500
26590745100016,87.10A,A,322 RUE DU DOCTEUR HENRI VANUXEEM NIEPPE 59850
21420187300525,85.20Z,A,142 RUE DE CHARLIEU ROANNE 42300
21260157900049,84.11Z,A,PLACE DE LA LIBERATION LA LAUPIE 26740 MAIRIE
21860065800015,84.11Z,A,4 RUE DE LA MAIRIE CHATEAU-LARCHER 86370
20005536600062,84.12Z,A,RUE RAVIEUX SAINT GENIEZ D'OLT ET D'AUBRAC 12130
03915183200019,81.10Z,A,49 AVENUE DANIELLE CASANOVA IVRY-SUR-SEINE 94200
26910046700043,86.22C,A,1 RUE DU DOCTEUR FRANCOIS DRAVEIL 91210
26670058200072,66.19A,A,24 ROUTE DE WEILER WISSEMBOURG 67160
26800003100057,87.10C,A,3 RUE DU 8 MAI 1945 ALBERT 80300
26850085700118,88.99B,A,2 RUE JEAN-FRANCOIS CHAMPOLLION LA ROCHE-SUR-YON 85000
21710270600363,85.20Z,A,381 RUE VREMONTOISE MACON 71000 SENNECE
21240299400017,84.11Z,A,80 RUE DE LA LIBERATION MUSSIDAN 24400
21440217400046,37.00Z,A,9 RUE G HERSART DE LA VILLEMARQUE VIGNEUX-DE-BRETAGNE 44360
30270067900012,93.12Z,A,LE PUY-NOTRE-DAME 49260
21630113500622,85.20Z,A,14 RUE ALBERT MALLET CLERMONT-FERRAND 63000
18340008400368,55.90Z,A,24 COURS LAZARE ESCARGUEL PERPIGNAN 66000
21770390900143,85.10Z,A,RUE JULES FERRY ROISSY-EN-BRIE 77680
21720188800013,84.11Z,A,LE BOURG MAROLLETTE 72600
25100185500013,84.11Z,A,31 GRANDE RUE LA VENDUE-MIGNOT 10800 MAIRIE
21670028600059,85.20Z,A,RUE DE BARR BENFELD 67230
21590139800085,85.10Z,A,16 RUE PIERRE BROSSOLETTE CAUDRY 59540
18680380500016,94.91Z,A,ASPACH 68130
21930029000588,85.20Z,A,11 RUE DE LA VILLETTE DRANCY 93700 11/15
19810030700018,85.31Z,A,3 PLACE DE LA RESISTANCE LAVAUR 81500
02404423200015,71.12B,A,PL DE LA MAIRIE DEMBENI 97660
03902204100014,81.10Z,A,5 RUE D'ARGENSON PARIS 75008
21420238400076,42.99Z,A,LE BOURG SAINT-JEAN-LA-VETRE 42440
21550170100019,84.11Z,A,5 RUE DE LA CHAUSSEE ECUREY-EN-VERDUNOIS 55150
30194064900025,77.31Z,A,5 ROUTE DE CHAILLAND SAINT-HILAIRE-DU-MAINE 53380 LE PETIT COURGET
25360981200016,84.12Z,A,LE BOURG MARON 36120 MAIRIE
03897564500011,81.10Z,A,25 RUE DOUDEAUVILLE PARIS 75018
22280001300732,84.13Z,A,ZI ST ARNOULT CHATEAUNEUF-EN-THYMERAIS 28170
19381903400011,85.31Z,A,ALL JEAN VILAR ECHIROLLES 38130
03894879000019,81.10Z,A,7 RUE AUGUSTE CONSTANT ERNOULT FONTENAY AUX ROSES 92260
02405048600018,41.20A,A,2 VEN ISSA AMISSI CHICONI 97670 CHICONI
21630121800014,84.11Z,A,18 AVENUE JEAN JAURES COUDES 63114
26660002200138,85.42Z,A,RUE VELASQUEZ PERPIGNAN 66000
25872856700011,93.29Z,A,1 RUE DES FONTAINES CHAMPSAC 87230
25300309900020,84.11Z,A,32 PLACE DES ECOLES FONS-SUR-LUSSAN 30580 MAIRIE
30207716902783,96.03Z,A,59 AVENUE DE LA MER SIX-FOURS-LES-PLAGES 83140
26890503100012,88.99B,A,MAIRIE AISY-SUR-ARMANCON 89390
21610241800037,84.12Z,A,RUE DE LA GROTTE LA MADELEINE-BOUVET 61110 MAIRIE
21640161200017,84.11Z,A,124 RUE DES CAGOTS CAME 64520
21190310900547,85.20Z,A,26 AVENUE GUYNEMER BRIVE-LA-GAILLARDE 19100
05480242600012,68.20B,A,15 AV MAL FOCH MARSEILLE 4EME 13004
21800358000071,85.10Z,A,12 RUE DE LA TANNERIE GAMACHES 80220
26330582300035,86.10Z,A,PLACE AMELIE RABA LEON BORDEAUX 33000
04206761100014,81.10Z,A,11 RUE DE LA REPUBLIQUE GRENOBLE 38000 11 A 15
21470028800027,85.20Z,A,AU BOURG BIRAC-SUR-TREC 47200 AU BOURG
21440143200387,86.21Z,A,ALLEE DE TOURAINE REZE 44400
02404912400373,47.11B,A,RUE DE LA BRIQUETTERIE MAMOUDZOU 97600 CAVANI
21850243300012,84.11Z,A,PL DU 18 JUIN 1940 BREM-SUR-MER 85470
29080289100017,42.99Z,A,1 RUE DU DOCTEUR DOYEN TAGNON 08300 MAIRIE
28480002600023,84.11Z,A,11 BOULEVARD DES CAPUCINS MENDE 48000
30390318100012,68.20A,A,[ND] [ND] [ND] TIGNES [ND] [ND]
21350195000017,84.11Z,A,19 AVENUE ALEXIS REY MONTREUIL-SUR-ILLE 35440
22320001500707,84.13Z,A,AU VILLAGE MONTESQUIOU 32320
20006615700021,42.99Z,A,CHATEAU STANISLAS COMMERCY 55200 MAISON DES SERVICES
05650309700364,46.73A,A,AVENUE DE L'ARCALOD RUMILLY 74150 Z.I. LES PEAUSES
13000548124879,84.13Z,A,67 AVENUE DE CHATEAUDUN BLOIS 41000
21010318000035,37.00Z,A,RANCE 01390 MAIRIE
21380185500650,85.20Z,A,9 RUE HEBERT GRENOBLE 38000
03881221000011,81.10Z,A,1 PLACE JEAN D’ALEMBERT PIERREFITTE-SUR-SEINE 93380
29880212500013,42.99Z,A,PLACE DES VOSGES MARTIGNY-LES-BAINS 88320 MAIRIE
01993849700013,81.10Z,A,2 AVENUE PASTEUR ANTIBES 06600
21280086600015,84.11Z,A,10 RUE DES ACACIAS CHASSANT 28480
21330024700011,84.11Z,A,43 ROUTE DU DROPT BAGAS 33190
21110234800029,36.00Z,A,MIREVAL-LAURAGAIS 11400 HOTEL DE VILLE
30247464800540,47.29Z,A,180 RUE DES PYRENEES PARIS 75020
24330150400078,84.13Z,A,46 AVENUE DES COLONIES ANDERNOS-LES-BAINS 33510 COBAN ATLANTIQUE
21430135000127,68.20B,A,1 PLACE DU POLE LAURENT EYNAC LE MONASTIER-SUR-GAZEILLE 43150 MAIRIE
30404665900054,94.99Z,A,60 CHEMIN DE SAINT SAUVEUR LIMAY 78520
26300284200015,88.99B,A,4 PLACE DE LA FONTAINE SAZE 30650 MAIRIE
30332240800103,46.49Z,A,2 RUE DU PUITS DIXME ORLY 94310 ZI ORLY SENIA
22180001400153,86.22C,A,RUE DANTON BOURGES 18000
20005418700105,42.99Z,A,1 PLACE DE LA FRATERNITE VAL DES VIGNES 16250 MAIRIE
21570474300016,84.11Z,A,RUE DES PONTS MONDELANGE 57300
06350274400012,08.12Z,A,153 ROUTE DE BIEVRE RIVES 38140
20007326000040,68.20B,A,107 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY LUCON 85400
03935959100011,81.10Z,A,181 RUE D'ALESIA PARIS 75014 ARIS REP PAR SARL SA
20006791600045,42.99Z,A,4 PLACE GEORGES CLEMENCEAU COSNE-COURS-SUR-LOIRE 58200
30362693100024,79.11Z,A,19 RUE SAINT JEAN SAINT-ETIENNE 42000
03521698500016,81.10Z,A,BOULEVARD MARECHAL LECLERC TOULOUSE 31000
03907553600019,81.10Z,A,19 PLACE DE LA REPUBLIQUE PARIS 75003 RIS REP PAR
17760232300012,84.11Z,A,13 AVENUE DU MONT RIBOUDET ROUEN 76000
30247464801381,47.29Z,A,83 RUE DE LODI MARSEILLE 13006 83 A 85
13001143000373,84.11Z,A,45 RUE SAINTE CATHERINE NANCY 54000 CITE ADMINISTRATIVE
03933847000014,81.10Z,A,9 AVENUE DE MONTESPAN PARIS 75016 RIS REP PAR
21180025500021,85.20Z,A,10 RUE DES ECOLES BEFFES 18320
19580101400034,85.32Z,A,RUE PIERRE MENDES FRANCE CHATEAU-CHINON (VILLE) 58120
21930007600532,86.22C,A,122 CHEMIN DE NOTRE DAME LE BLANC-MESNIL 93150
21330198900025,85.10Z,A,12 AVENUE DU STADE GUITRES 33230
03352230100010,81.10Z,A,3 AVENUE MARECHAL HARISPE BAYONNE 64100
21630148100042,42.99Z,A,PLACE DE LA MAIRIE ENNEZAT 63720 MAIRIE
21280196300092,96.04Z,A,11 RUE PHILEBERT POULAIN ILLIERS-COMBRAY 28120
25250858500012,84.12Z,A,12 GRANDE RUE SANCEY 25430 MAIRIE
02150494900013,81.10Z,A,101 RUE SYLVABELLE MARSEILLE 13006
21690217100018,84.11Z,A,192 RUE DE LA MAIRIE SAINT-JUST-D'AVRAY 69870
03938114000019,81.10Z,A,5 RUE CACHEUX COURBEVOIE 92400 NE COLOMBES 92 REP P
03926535000015,81.10Z,A,59 RUE LEGENDRE PARIS 75017
26860047500019,88.99B,A,RUE DE L'HOTEL DE VILLE BUXEROLLES 86180 MAIRIE
21120039900049,36.00Z,A,BRUSQUE 12360 MAIRIE
21220025700039,85.10Z,A,17 RUE DE L'ALLEE CALLAC 22160
30376306400027,49.41C,A,21 RUE DE TOUL PARIS 75012
21220233700086,84.11Z,A,2 RUE YVES MARIE LAGADEC PLOURIVO 22860
30011439400046,68.20A,A,52 RUE DAMREMONT PARIS 75018
03912664400010,81.10Z,A,30 RUE PECLET PARIS 75015 PAR SARL SERAC ISAMB
21010241400013,84.11Z,A,PLACE DE LA MAIRIE MEILLONNAS 01370
21340069000102,42.99Z,A,PLACE DES CENT QUARANTE CAZOULS-LES-BEZIERS 34370 MAIRIE
04011034800014,81.10Z,A,17 RUE SAINT MAXIMIN LYON 69003
29510569600013,42.99Z,A,7 RUE DE LA LIBERATION ŒUILLY 51480 MAIRIE
21930005000651,85.10Z,A,22 RUE PAUL BERT AULNAY-SOUS-BOIS 93600
21250238900076,42.99Z,A,FESSEVILLERS 25470 MAIRIE
21260281700083,85.20Z,A,RUE CHARLES MAYEUX ROMANS-SUR-ISERE 26100
03931557700013,81.10Z,A,73 RUE DU POTEAU PARIS 75018
21580180400067,55.30Z,A,LA BAIE DE FAYE MONTSAUCHE-LES-SETTONS 58230
21940073600043,85.10Z,A,RUE DE LA GALAISE THIAIS 94320
20000156800027,88.10A,A,85 RUE NATIONALE GIMONT 32200
20004425300025,86.21Z,A,15 RUE DE LA GARE DOULEVANT-LE-CHATEAU 52110
03903303000014,81.10Z,A,17 RUE DUPHOT PARIS 75001 RIS REP PAR SA CABIN
21810273900016,84.11Z,A,2 PLACE JEAN-JAURES SAIX 81710
21750001605059,85.10Z,A,15 RUE D'EUPATORIA PARIS 75020
09412683600033,01.30Z,A,ONGOJOU OUANGANI 97670
21390478200033,85.10Z,A,11 RUE DE FRANCHE-COMTE SAINT-CLAUDE 39200
21950572400092,85.10Z,A,RUE DES ECOLES SAINT-OUEN-L'AUMONE 95310
18670462300021,94.91Z,A,2 RUE DE LA CARPE HAUTE STRASBOURG 67000
19911946200018,85.31Z,A,1 PLACE LEONARD DE VINCI SAINT-MICHEL-SUR-ORGE 91240
20005994700107,42.99Z,A,10 PL DE L'HOTEL DE VILLE LA PORTE DU DER 52220
04229453800014,81.10Z,A,BONNE 74380
21400295800079,42.99Z,A,LE BOURG SAUGNAC-ET-MURET 40410 MAIRIE
20005467400029,84.11Z,A,LE VILLAGE FORGES-LES-EAUX 76440
21710354800012,84.11Z,A,33 ROUTE DES ECOLES POISSON 71600
21890430800051,42.99Z,A,2 RUE DU CHAPITEAU VARENNES 89144
19060075900012,85.32Z,A,7 AVENUE DES EUCALYPTUS NICE 06200
21260362500550,85.20Z,A,58 RUE AUGUSTE RENOIR VALENCE 26000
06910494100013,68.20B,A,98 AVENUE PIERRE MENDES-FRANCE AVRILLE 49240
09597445700020,01.43Z,A,CHEMIN DE BATAN LESCAR 64230
30287801200038,88.10A,A,1 AVENUE DES NELMONTS WITRY-LES-REIMS 51420
21420246700012,84.11Z,A,GRAND PLACE SAINT-JULIEN-MOLIN-MOLETTE 42220 HOTEL DE VILLE
29790023500013,42.99Z,A,MAIRIE LA CRECHE 79260
26850080800012,88.99B,A,4 PLACE DU MARCHE LE POIRE-SUR-VIE 85170 MAIRIE
17202111500362,84.23Z,A,11 AVENUE JEAN ZUCCARELLI BASTIA 20200
03931945400011,81.10Z,A,47 RUE DES MATHURINS PARIS 75008 P PAR
20008417600086,85.20Z,A,17 RUE NOTRE DAME LAMBALLE-ARMOR 22400
03937390700011,81.10Z,A,3 PLACE CHARLES DIGEON SAINT-MANDE 94160 SAINT MANDE REP PAR
17630111700279,84.23Z,A,114 BOULEVARD DE COURTAIS MONTLUCON 03100
21590009300026,96.02B,A,42 RUE DE L’EGALITE VILLENEUVE-D'ASCQ 59491
03881365500016,81.10Z,A,22 BOULEVARD CARNOT SAINT-DENIS 93200 T DENIS  REP PAR
04381162900013,81.10Z,A,7 RUE TIPHAINE PARIS 75015
21290122700075,84.11Z,A,48 GRAND'RUE LAZ 29520
21590350100314,85.10Z,A,3 RUE DU CAPITAINE MICHEL LILLE 59000
01988798300013,81.10Z,A,9 RUE DES MICHELS LE CANNET 06110
03900269600019,81.10Z,A,126 BOULEVARD VOLTAIRE PARIS 75011
30259089800680,38.11Z,A,AVENUE DES FERRANCINS TORCY 71210
04387245600017,81.10Z,A,8 RUE BORY D'ARNEX SAINT-CLOUD 92210
03894321300017,81.10Z,A,85 AVENUE PAUL DOUMER PARIS 75016 NEUILLY SUR SEINE R
20005766900018,88.99B,A,60 RUE BEAUREGARD LE TEILLEUL 50640 MAIRIE
21690175100067,86.21Z,A,5 RUE SAINT ANDRE SAVIGNY 69210
13002998600010,84.13Z,A,2 ROUTE DE NARBONNE AUZEVILLE-TOLOSANE 31320 GIP TRANSITIONS
20001259900052,85.20Z,A,PAITA 98840
04014048500018,81.10Z,A,15 COURS VITTON LYON 69006
13001727000625,94.11Z,A,27 AVENUE DE FRIEDLAND PARIS 75008
24900024100128,84.12Z,A,8 PLACE RAYMOND FORNI DELLE 90100
03907371300016,81.10Z,A,12 RUE DES PYRAMIDES PARIS 75001
01980053100014,81.10Z,A,6 AVENUE DES AIGLES ANTIBES 06600
26710019600026,66.19A,A,99 RUE HOPITAL CUISERY 71290
